"Total","Percentage","Q1_KEY_B","Q2_KEY_D","Q3_KEY_B","Question 4{}","researchID"
0,"0%","NV","NV","NV","NV","ab70"
2,"100%","C","D","B","NV","ab70"
0,"0%","NV","NV","NV","NV","as160"
2,"100%","NV","D","B","NV","as160"
0,"0%","NV","NV","NV","NV","bb33"
0,"0%","NV","NV","NV","NV","ca62"
2,"100%","NV","E","NV","NV","ca62"
2,"100%","NV","B","B","NV","ca62"
2,"100%","C","D","B","NV","cd102"
0,"0%","NV","NV","NV","NV","ce138"
2,"100%","B","D","B","NV","cj85"
2,"100%","B","B","B","NV","cq54"
0,"0%","NV","NV","NV","NV","cq54"
2,"100%","C","D","B","NV","cx93"
2,"100%","B","D","B","NV","dr56"
0,"0%","NV","NV","NV","NV","eu125"
0,"0%","NV","NV","NV","NV","ev22"
0,"0%","NV","NV","NV","NV","ev22"
0,"0%","NV","NV","NV","NV","fs47"
2,"100%","NV","A","B","NV","fs47"
0,"0%","NV","NV","NV","NV","gr7"
0,"0%","NV","NV","NV","NV","hl94"
0,"0%","NV","NV","NV","NV","hl94"
2,"100%","C","D","B","NV","hl94"
0,"0%","NV","NV","NV","NV","ho117"
2,"100%","B","D","B","NV","ho117"
2,"100%","B","D","B","NV","ij80"
2,"100%","B","D","B","NV","il134"
2,"100%","B","D","B","NV","jh167"
0,"0%","NV","NV","NV","NV","jr82"
0,"0%","NV","NV","NV","NV","kc69"
2,"100%","C","A","B","NV","kc69"
2,"100%","C","D","B","NV","kk83"
0,"0%","NV","NV","NV","NV","kq149"
0,"0%","NV","NV","NV","NV","lp16"
2,"100%","B","NV","C","NV","lp16"
0,"0%","NV","NV","NV","NV","mk6"
2,"100%","B","D","B","NV","mn113"
2,"100%","B","B","C","NV","ne71"
2,"100%","B","D","B","NV","qk1"
2,"100%","A","B","NV","NV","qs140"
2,"100%","B","D","B","NV","sa106"
0,"0%","NV","NV","NV","NV","sc108"
2,"100%","B","D","B","NV","sc108"
0,"0%","NV","NV","NV","NV","se121"
2,"100%","A","D","NV","NV","se121"
2,"100%","NV","D","C","NV","se121"
2,"100%","B","D","B","NV","tb139"
2,"100%","B","D","B","NV","tl104"
2,"100%","C","D","B","NV","vk37"
2,"100%","B","D","B","NV","wh38"
0,"0%","NV","NV","NV","NV","wz10"
0,"0%","NV","NV","NV","NV","xu128"
2,"100%","B","D","NV","NV","ya79"
0,"0%","NV","NV","NV","NV","ya8"
2,"100%","B","NV","B","NV","ya8"
2,"100%","B","D","B","NV","yb118"
2,"100%","C","D","C","NV","yb87"
2,"100%","B","D","B","NV","yb87"
0,"0%","NV","NV","NV","NV","yd105"
0,"0%","NV","NV","NV","NV","za95"
2,"100%","C","NV","NV","NV","za95"
2,"100%","C","D","B","NV","zf127"
2,"100%","B","D","B","NV","zu23"
0,"0%","NV","NV","NV","NV","zz133"
2,"100%","B","D","B","NV",NA
2,"100%","A","E","B","NV",NA
2,"100%","C","A","B","NV",NA
