"Total","Percentage","Q3KeyA","Q5KeyA","Q5.1KeyA","Q7KeyB","Q9KeyD","Q9.1KeyD","Q11KekyA","Q12KeyA","Q13KeyC","Q13.1KeyC","researchID"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ab70"
2,"100%","A","A","A","C","NV","D","A","A","B","B","ab70"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","as160"
2,"100%","A","B","A","B","D","D","A","A","C","C","as160"
2,"100%","B","D","A","B","B","D","NV","B","B","B","bb33"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ca62"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ca62"
2,"100%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ca62"
2,"100%","A","A","A","B","D","D","A","A","C","C","cd102"
2,"100%","A","A","A","B","D","D","A","A","B","B","ce138"
2,"100%","D","A","A","C","B","D","A","A","C","B","cj85"
2,"100%","A","C","C","B","D","D","A","A","C","C","cq54"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","cq54"
2,"100%","A","A","A","B","B","D","A","A","C","C","cx93"
2,"100%","A","B","NV","NV","NV","NV","NV","NV","NV","NV","dr56"
2,"100%","A","A","A","B","D","D","A","A","C","C","eu125"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ev22"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ev22"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ez119"
2,"100%","C","C","A","B","B","B","A","A","B","B","fg66"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","fs47"
2,"100%","D","A","A","C","B","D","A","B","C","B","fs47"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","gm172"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","gm172"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","gm172"
2,"100%","A","A","A","B","D","D","A","NV","C","C","gr7"
2,"100%","A","D","A","A","B","D","A","A","C","C","gz132"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","hc97"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","hl94"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","hl94"
2,"100%","A","A","A","C","D","D","A","B","C","B","hl94"
2,"100%","A","A","A","B","D","D","A","NV","NV","NV","ho117"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ho117"
2,"100%","A","A","A","C","B","D","A","A","C","C","ij80"
2,"100%","A","A","A","B","B","D","A","A","B","B","il134"
2,"100%","A","C","A","C","D","D","A","A","C","C","ix115"
2,"100%","A","A","A","B","D","D","B","B","B","B","jh167"
2,"100%","A","A","A","B","D","D","A","A","B","B","jr82"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","js147"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","js52"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","kc69"
2,"100%","A","A","A","B","B","B","A","A","A","A","kc69"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","kj31"
2,"100%","D","A","A","B","D","D","A","B","B","B","kk83"
2,"100%","A","C","A","B","D","D","A","A","B","C","kq149"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","lp16"
2,"100%","A","C","A","B","B","D","A","B","C","B","lp16"
2,"100%","A","C","A","B","D","NV","A","B","D","B","mk6"
2,"100%","B","C","A","B","D","D","D","A","B","B","mn113"
2,"100%","NV","A","A","B","B","D","C","B","D","C","ne71"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","pr39"
2,"100%","A","A","A","B","B","D","A","A","B","NV","qf53"
2,"100%","A","A","A","B","D","D","A","A","C","C","qk1"
2,"100%","A","C","A","C","D","D","A","B","B","C","qs140"
2,"100%","C","B","A","B","D","D","C","B","B","B","sa106"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","se121"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","se121"
2,"100%","A","D","A","B","B","D","A","B","B","B","se121"
2,"100%","A","C","A","B","A","D","A","A","B","B","tb139"
2,"100%","A","B","A","B","D","D","C","A","B","B","tl104"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","tn137"
2,"100%","A","C","C","B","B","D","A","B","B","C","vk37"
2,"100%","A","A","A","B","D","D","A","A","NV","C","wh38"
2,"100%","A","C","A","B","D","D","A","A","C","B","wz10"
2,"100%","B","C","C","C","B","D","A","A","B","B","xu128"
2,"100%","A","A","A","B","D","D","C","A","C","C","ya79"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ya8"
2,"100%","A","A","A","B","D","NV","NV","A","C","C","ya8"
2,"100%","A","C","A","C","NV","D","A","A","B","C","yb118"
2,"100%","A","A","A","B","D","D","A","A","D","B","yb87"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","yb87"
2,"100%","A","D","NV","B","D","D","A","A","B","B","yd105"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","yi5"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","za95"
2,"100%","B","B","B","C","A","A","A","B","A","A","za95"
2,"100%","A","A","A","B","B","D","A","A","B","NV","zf127"
2,"100%","A","C","C","A","B","D","A","B","B","B","zu23"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","zz133"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV",NA
2,"100%","C","A","A","B","C","D","B","B","C","NV",NA
2,"100%","A","A","A","B","C","D","C","B","B","C",NA
