"Total","Percentage","QuestioQ1KeyCn 1{}","Q1.2KeyC","Q3KeyC","Q4KeyC","Q5KeyC","researchID"
0,"0%","NV","NV","NV","NV","NV","ab70"
2,"100%","C","C","C","A","A","ab70"
0,"0%","NV","NV","NV","NV","NV","as160"
2,"100%","A","B","C","A","C","as160"
2,"100%","C","C","C","C","C","bb33"
0,"0%","NV","NV","NV","NV","NV","ca62"
2,"100%","B","E","NV","NV","NV","ca62"
2,"100%","B","NV","C","NV","C","ca62"
2,"100%","C","C","C","A","C","cd102"
2,"100%","C","C","C","C","C","ce138"
2,"100%","D","C","B","C","C","cj85"
2,"100%","A","A","C","C","A","cq54"
0,"0%","NV","NV","NV","NV","NV","cq54"
2,"100%","A","A","B","C","C","cx93"
0,"0%","NV","NV","NV","NV","NV","dr56"
2,"100%","D","D","C","C","C","eu125"
0,"0%","NV","NV","NV","NV","NV","ev22"
2,"100%","A","C","B","D","C","ev22"
0,"0%","NV","NV","NV","NV","NV","ez119"
2,"100%","C","C","B","C","B","fg66"
0,"0%","NV","NV","NV","NV","NV","fs47"
2,"100%","D","C","C","C","C","fs47"
0,"0%","NV","NV","NV","NV","NV","gm172"
2,"100%","C","C","C","C","C","gm172"
0,"0%","NV","NV","NV","NV","NV","gm172"
2,"100%","C","D","C","C","C","gr7"
2,"100%","C","C","C","C","A","gz132"
0,"0%","NV","NV","NV","NV","NV","hc97"
0,"0%","NV","NV","NV","NV","NV","hl94"
0,"0%","NV","NV","NV","NV","NV","hl94"
2,"100%","B","C","B","C","C","hl94"
2,"100%","C","C","C","D","NV","ho117"
0,"0%","NV","NV","NV","NV","NV","ho117"
2,"100%","C","C","C","B","C","ij80"
2,"100%","B","NV","C","C","C","il134"
2,"100%","C","C","C","A","C","ix115"
2,"100%","A","A","C","C","C","jh167"
2,"100%","C","C","C","C","C","jr82"
0,"0%","NV","NV","NV","NV","NV","js147"
0,"0%","NV","NV","NV","NV","NV","js52"
0,"0%","NV","NV","NV","NV","NV","kc69"
2,"100%","D","D","B","B","B","kc69"
0,"0%","NV","NV","NV","NV","NV","kj31"
2,"100%","A","C","B","B","C","kk83"
2,"100%","NV","D","C","C","C","kq149"
0,"0%","NV","NV","NV","NV","NV","lp16"
0,"0%","NV","NV","NV","NV","NV","lp16"
2,"100%","B","NV","B","C","C","mk6"
2,"100%","C","E","C","A","B","mn113"
2,"100%","D","C","B","C","C","ne71"
0,"0%","NV","NV","NV","NV","NV","pr39"
2,"100%","C","A","B","B","C","qf53"
2,"100%","D","C","C","C","C","qk1"
0,"0%","NV","NV","NV","NV","NV","qs140"
2,"100%","B","C","C","A","A","sa106"
0,"0%","NV","NV","NV","NV","NV","se121"
0,"0%","NV","NV","NV","NV","NV","se121"
2,"100%","C","C","NV","C","C","se121"
2,"100%","A","C","C","C","C","tb139"
2,"100%","C","A","B","C","C","tl104"
2,"100%","NV","D","B","B","C","tn137"
2,"100%","B","C","C","C","A","vk37"
2,"100%","C","C","C","C","C","wh38"
0,"0%","NV","NV","NV","NV","NV","wz10"
2,"100%","D","D","C","C","C","xu128"
2,"100%","C","C","C","A","C","ya79"
0,"0%","NV","NV","NV","NV","NV","ya8"
2,"100%","C","C","C","C","C","ya8"
2,"100%","D","D","C","C","C","yb118"
2,"100%","A","B","B","C","C","yb87"
0,"0%","NV","NV","NV","NV","NV","yb87"
2,"100%","C","C","C","A","C","yd105"
2,"100%","B","C","C","C","C","yi5"
0,"0%","NV","NV","NV","NV","NV","za95"
0,"0%","NV","NV","NV","NV","NV","za95"
0,"0%","NV","NV","NV","NV","NV","zf127"
2,"100%","D","D","C","C","C","zu23"
0,"0%","NV","NV","NV","NV","NV","zz133"
0,"0%","NV","NV","NV","NV","NV",NA
2,"100%","D","NV","NV","NV","NV",NA
0,"0%","NV","NV","NV","NV","NV",NA
