"Total","Percentage","Q1KeyC","Q2KeyE","Q2.1KeyE","Q4KeyC","Q5KeyC","Q6KeyA","researchID"
0,"0%","NV","NV","NV","NV","NV","NV","ab70"
2,"100%","C","NV","E","C","C","A","ab70"
0,"0%","NV","NV","NV","NV","NV","NV","as160"
2,"100%","C","B","D","B","B","A","as160"
2,"100%","B","NV","D","A","A","B","bb33"
0,"0%","NV","NV","NV","NV","NV","NV","ca62"
0,"0%","NV","NV","NV","NV","NV","NV","ca62"
2,"100%","B","NV","A","C","C","A","ca62"
2,"100%","C","E","E","C","C","A","cd102"
2,"100%","C","E","E","C","C","A","ce138"
2,"100%","C","A","A","A","B","A","cj85"
2,"100%","C","D","E","C","C","B","cq54"
0,"0%","NV","NV","NV","NV","NV","NV","cq54"
2,"100%","C","A","A","B","B","A","cx93"
2,"100%","B","C","C","A","A","A","dr56"
2,"100%","A","D","D","A","NV","A","eu125"
0,"0%","NV","NV","NV","NV","NV","NV","ev22"
2,"100%","A","B","A","A","A","B","ev22"
0,"0%","NV","NV","NV","NV","NV","NV","ez119"
2,"100%","C","A","A","B","C","NV","fg66"
0,"0%","NV","NV","NV","NV","NV","NV","fs47"
2,"100%","A","C","A","C","C","A","fs47"
0,"0%","NV","NV","NV","NV","NV","NV","gm172"
2,"100%","C","E","E","C","C","A","gm172"
0,"0%","NV","NV","NV","NV","NV","NV","gm172"
2,"100%","A","C","A","A","C","A","gr7"
2,"100%","C","A","E","C","C","A","gz132"
0,"0%","NV","NV","NV","NV","NV","NV","hc97"
0,"0%","NV","NV","NV","NV","NV","NV","hl94"
0,"0%","NV","NV","NV","NV","NV","NV","hl94"
2,"100%","C","A","NV","B","C","A","hl94"
2,"100%","NV","A","E","C","C","A","ho117"
0,"0%","NV","NV","NV","NV","NV","NV","ho117"
2,"100%","C","A","A","B","B","A","ij80"
2,"100%","A","E","NV","A","A","A","il134"
2,"100%","C","E","E","C","C","A","ix115"
2,"100%","A","A","A","A","A","A","jh167"
2,"100%","C","D","D","B","B","B","jr82"
0,"0%","NV","NV","NV","NV","NV","NV","js147"
0,"0%","NV","NV","NV","NV","NV","NV","js52"
0,"0%","NV","NV","NV","NV","NV","NV","kc69"
2,"100%","NV","A","B","A","NV","NV","kc69"
0,"0%","NV","NV","NV","NV","NV","NV","kj31"
2,"100%","C","E","E","A","A","A","kk83"
2,"100%","A","E","A","B","NV","A","kq149"
0,"0%","NV","NV","NV","NV","NV","NV","lp16"
2,"100%","C","C","C","A","B","A","lp16"
2,"100%","A","NV","NV","NV","NV","NV","mk6"
2,"100%","A","E","E","A","C","A","mn113"
2,"100%","C","A","D","C","C","B","ne71"
0,"0%","NV","NV","NV","NV","NV","NV","pr39"
0,"0%","NV","NV","NV","NV","NV","NV","qf53"
2,"100%","A","D","D","B","A","A","qk1"
2,"100%","C","NV","A","A","A","NV","qs140"
2,"100%","C","A","E","C","C","A","sa106"
0,"0%","NV","NV","NV","NV","NV","NV","se121"
0,"0%","NV","NV","NV","NV","NV","NV","se121"
2,"100%","C","E","NV","NV","A","A","se121"
2,"100%","C","C","E","B","B","A","tb139"
2,"100%","C","E","E","B","A","A","tl104"
2,"100%","C","NV","NV","NV","C","B","tn137"
2,"100%","C","D","E","C","C","A","vk37"
2,"100%","B","D","D","A","NV","NV","wh38"
2,"100%","B","C","C","A","B","A","wz10"
2,"100%","A","C","A","B","A","A","xu128"
2,"100%","C","E","E","C","C","A","ya79"
0,"0%","NV","NV","NV","NV","NV","NV","ya8"
2,"100%","C","D","E","C","C","A","ya8"
2,"100%","C","NV","E","C","C","C","yb118"
2,"100%","C","A","A","A","A","A","yb87"
0,"0%","NV","NV","NV","NV","NV","NV","yb87"
2,"100%","NV","NV","E","A","A","B","yd105"
2,"100%","C","C","C","B","B","C","yi5"
0,"0%","NV","NV","NV","NV","NV","NV","za95"
0,"0%","NV","NV","NV","NV","NV","NV","za95"
2,"100%","B","NV","E","B","A","C","zf127"
2,"100%","A","C","E","B","C","A","zu23"
0,"0%","NV","NV","NV","NV","NV","NV","zz133"
0,"0%","NV","NV","NV","NV","NV","NV",NA
0,"0%","NV","NV","NV","NV","NV","NV",NA
2,"100%","NV","NV","C","C","NV","NV",NA
0,"0%","NV","NV","NV","NV","NV","NV",NA
