"Total","Percentage","Q1_KEY_A","Q2_KEY_B","Q3_KEY_B","Q3.2_KEY_B","Q5_KEY_A","Q5.2_KEY_A","Q7_KEY_A","Q8_KEY_A","Q9_KEY_B","Q10_KEY_A","Q10.3_KEY_A","Q13_KEY_B","Q13.2_KEY_B","Q1.2_KEY_A","Q17_KEY_D","Q17.2_KEY_D","researchID"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ab70"
2,"100%","B","B","B","B","B","NV","A","A","NV","D","D","B","B","B","A","A","ab70"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","as160"
2,"100%","A","B","B","B","A","NV","A","A","B","A","A","B","B","A","D","NV","as160"
2,"100%","A","B","B","B","B","NV","A","A","B","D","NV","B","D","A","A","D","bb33"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ca62"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ca62"
2,"100%","A","B","B","B","A","NV","NV","B","NV","NV","NV","NV","NV","NV","NV","A","ca62"
2,"100%","A","B","A","B","B","NV","A","A","B","A","A","B","B","A","D","D","cd102"
2,"100%","A","B","B","B","B","NV","A","A","B","A","A","B","B","A","D","D","ce138"
2,"100%","A","B","A","B","A","NV","A","A","B","C","A","D","D","A","A","D","cj85"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","cq54"
2,"100%","A","A","B","B","A","NV","A","A","B","B","A","C","B","A","A","D","cq54"
2,"100%","A","B","B","NV","B","NV","A","A","B","C","C","C","B","A","D","D","cx93"
2,"100%","A","B","C","B","A","NV","B","A","B","D","A","C","B","B","NV","D","dr56"
2,"100%","A","NV","A","B","A","NV","A","A","B","A","A","B","B","A","D","D","eu125"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ev22"
2,"100%","A","B","B","B","A","NV","A","A","B","B","A","D","D","C","A","D","ev22"
2,"100%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ez119"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","fs47"
2,"100%","B","B","C","B","NV","NV","B","B","E","B","A","C","B","B","A","D","fs47"
2,"100%","NV","B","C","B","NV","NV","A","A","NV","NV","A","C","B","A","D","D","gr7"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","hl94"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","hl94"
2,"100%","A","B","A","C","B","NV","A","A","B","C","A","D","D","A","B","A","hl94"
2,"100%","A","B","B","B","A","NV","A","A","B","A","NV","D","A","A","D","D","ho117"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ho117"
2,"100%","A","B","B","B","B","NV","A","A","B","D","A","D","D","A","A","D","ij80"
2,"100%","B","B","C","B","B","NV","A","B","B","B","C","A","B","B","C","A","il134"
2,"100%","B","B","B","NV","B","NV","A","A","B","NV","C","C","B","C","A","A","ix115"
2,"100%","A","B","C","B","A","NV","A","A","B","A","A","B","B","A","A","D","jh167"
2,"100%","B","B","B","C","B","NV","A","A","A","A","A","B","C","A","A","D","jr82"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","kc69"
2,"100%","A","B","C","C","B","NV","A","B","B","D","D","D","B","A","A","A","kc69"
2,"100%","A","B","C","B","B","NV","A","A","B","B","B","B","B","A","A","A","kk83"
2,"100%","NV","B","C","C","A","NV","B","A","B","D","A","B","B","A","A","D","kq149"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","lp16"
2,"100%","A","B","C","B","B","NV","B","A","B","D","A","C","B","A","B","D","lp16"
2,"100%","A","C","C","B","NV","NV","A","A","B","A","A","D","D","A","A","A","mk6"
2,"100%","B","B","E","B","B","NV","A","A","B","C","C","D","D","A","D","D","mn113"
2,"100%","A","B","B","B","B","NV","A","B","E","A","C","C","B","C","A","NV","ne71"
2,"100%","A","B","B","B","A","NV","A","B","B","A","A","D","D","A","D","D","qk1"
2,"100%","A","B","C","B","A","NV","A","A","B","A","A","D","B","A","A","D","qs140"
2,"100%","A","B","B","B","A","NV","A","A","B","C","A","B","B","A","D","D","sa106"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","sc108"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","sc108"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","se121"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","se121"
2,"100%","A","B","D","B","A","NV","A","A","A","C","C","B","A","A","A","D","se121"
2,"100%","A","B","C","B","A","NV","A","A","B","A","A","B","B","A","A","D","tb139"
2,"100%","A","B","D","B","A","NV","A","A","B","C","B","B","B","B","A","D","tl104"
2,"100%","B","B","B","B","A","NV","A","A","B","A","C","D","D","A","D","D","vk37"
2,"100%","A","B","A","B","A","NV","A","A","B","A","A","B","B","A","D","D","wh38"
2,"100%","B","B","B","B","B","NV","B","A","B","A","A","B","B","A","A","A","wz10"
2,"100%","A","B","B","B","A","NV","A","A","B","B","A","B","B","NV","D","D","xu128"
2,"100%","A","B","B","B","A","NV","A","A","B","A","A","B","B","A","A","D","ya79"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ya8"
2,"100%","A","B","B","B","NV","NV","NV","A","B","D","NV","C","B","A","A","D","ya8"
2,"100%","A","B","B","B","A","NV","A","A","A","D","D","B","B","A","D","D","yb118"
2,"100%","A","B","C","C","A","NV","A","A","B","D","C","B","B","A","A","D","yb87"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","yb87"
2,"100%","A","B","B","B","B","NV","A","A","B","D","D","B","B","A","A","D","yd105"
2,"100%","A","A","B","C","B","NV","A","A","B","C","C","B","B","B","C","A","yi5"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","za95"
2,"100%","A","B","B","B","A","NV","A","A","A","B","NV","A","D","A","C","NV","za95"
2,"100%","B","B","C","A","B","NV","A","A","B","A","NV","C","B","B","A","A","zf127"
2,"100%","A","NV","B","B","B","NV","A","A","B","A","A","B","B","A","C","A","zu23"
2,"100%","A","B","A","C","A","NV","A","A","B","D","D","NV","NV","C","E","E","zz133"
2,"100%","B","B","C","B","B","NV","A","A","B","A","A","B","D","C","E","E",NA
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV",NA
