"Total","Percentage","Q3_KeyA","Q4_nokey","Q5_KEYD","Q6_KeyB","Q7_KeyB","Q8_nokey","Q9_nokey","Q10_nokey","Q11_KeyA","researchID"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","ab70"
2,"100%","B","D","C","B","B","B","C","D","D","ab70"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","as160"
2,"100%","A","D","D","B","B","C","C","C","A","as160"
2,"100%","A","D","E","B","A","B","C","A","A","bb33"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","ca62"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","ca62"
2,"100%","NV","D","C","D","B","NV","B","A","A","ca62"
2,"100%","A","D","D","B","B","C","B","D","A","cd102"
2,"100%","A","D","D","B","C","C","C","D","A","ce138"
2,"100%","A","D","C","B","A","C","B","D","A","cj85"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","cq54"
2,"100%","NV","D","D","B","A","B","B","D","A","cq54"
2,"100%","A","D","C","B","B","B","B","B","A","cx93"
2,"100%","B","D","C","B","B","NV","NV","NV","NV","dr56"
2,"100%","A","D","D","B","A","B","B","A","B","eu125"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","ev22"
2,"100%","B","D","D","D","B","C","B","D","B","ev22"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","ez119"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","fs47"
2,"100%","A","D","B","B","A","B","C","D","B","fs47"
2,"100%","A","D","D","B","B","NV","B","D","B","gr7"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","hl94"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","hl94"
2,"100%","A","D","C","C","B","B","B","D","B","hl94"
2,"100%","A","D","E","B","B","A","C","D","A","ho117"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","ho117"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","ij80"
2,"100%","A","D","D","B","B","B","D","C","A","il134"
2,"100%","A","D","D","B","B","B","C","D","A","ix115"
2,"100%","A","D","D","B","B","D","B","D","B","jh167"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","jr82"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","kc69"
2,"100%","A","A","D","B","A","A","B","D","A","kc69"
2,"100%","A","D","C","B","B","C","A","A","A","kk83"
2,"100%","A","D","D","B","C","B","A","D","B","kq149"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","lp16"
2,"100%","B","D","D","B","B","D","B","NV","NV","lp16"
2,"100%","B","D","C","B","B","A","B","B","B","mk6"
2,"100%","A","D","D","B","B","B","C","D","A","mn113"
2,"100%","B","D","C","D","A","A","C","D","A","ne71"
2,"100%","A","D","C","B","B","A","B","D","A","qf53"
2,"100%","A","D","D","B","A","C","B","D","A","qk1"
2,"100%","A","D","NV","B","C","B","B","D","A","qs140"
2,"100%","A","D","C","B","C","C","B","D","A","sa106"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","sc108"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","sc108"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","se121"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","se121"
2,"100%","A","D","NV","B","A","B","C","D","B","se121"
2,"100%","A","D","D","B","B","C","A","D","B","tb139"
2,"100%","B","D","C","B","B","C","B","D","B","tl104"
2,"100%","B","D","D","B","B","B","B","C","A","vk37"
2,"100%","A","D","D","B","B","C","B","D","NV","wh38"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","wz10"
2,"100%","A","D","D","B","A","B","B","D","A","xu128"
2,"100%","A","D","D","B","C","B","C","D","A","ya79"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","ya8"
2,"100%","A","D","D","B","A","B","B","D","A","ya8"
2,"100%","A","D","D","B","C","C","C","D","A","yb118"
2,"100%","A","D","D","B","B","A","B","D","C","yb87"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","yb87"
2,"100%","A","D","D","NV","B","C","B","B","A","yd105"
2,"100%","A","B","NV","B","B","B","B","B","B","yi5"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","za95"
2,"100%","A","D","D","B","B","C","B","D","B","za95"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","zf127"
2,"100%","A","D","A","B","B","D","C","D","B","zu23"
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","zz133"
2,"100%","B","D","C","B","B","C","D","D","B",NA
2,"100%","A","D","C","B","A","A","B","D","A",NA
2,"100%","A","D","C","B","NV","D","B","D","A",NA
0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV",NA
