"Q1_KEYB","Q2_KEYA","Q4_KEYB","Q5_KEYB","Question 6{}","Q8_KEYB","Q9_KEYA","Q10_KEYB","Q11_KEYC","Q12_KEYA","Q13_KEYB","Q13.B_KEYB","Q15_KEYC","Q16_KEYA","researchID"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ab70"
"B","A","B","B","NV","B","A","B","C","B","B","B","C","A","ab70"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","as160"
"B","A","E","B","NV","B","NV","B","C","A","B","NV","C","C","as160"
"B","A","E","B","NV","B","A","B","C","A","B","B","C","A","bb33"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ca62"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ca62"
"A","NV","NV","NV","NV","B","A","NV","A","B","NV","B","A","A","ca62"
"B","A","B","B","NV","B","A","B","NV","A","B","B","C","C","cd102"
"B","A","B","B","NV","B","A","B","C","A","B","B","C","E","ce138"
"B","A","D","B","NV","B","B","A","C","A","A","B","A","C","cj85"
"A","B","E","B","NV","B","A","A","C","A","A","B","D","C","cq54"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","cq54"
"B","A","E","B","NV","B","A","B","C","A","B","B","C","A","cx93"
"B","A","E","A","NV","B","NV","NV","NV","NV","NV","NV","NV","NV","dr56"
"B","A","B","A","NV","A","A","A","C","A","B","B","C","A","eu125"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ev22"
"B","A","C","NV","NV","NV","A","A","C","A","A","B","C","C","ev22"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ez119"
"B","A","B","A","NV","A","A","C","A","A","A","B","C","B","fg66"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","fs47"
"A","A","B","B","NV","B","A","B","C","A","B","B","A","A","fs47"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","gm172"
"B","A","B","B","NV","B","A","B","C","A","B","B","C","C","gm172"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","gm172"
"B","A","B","A","NV","A","A","B","C","A","B","B","C","C","gr7"
"B","A","A","B","NV","B","A","B","C","A","B","B","A","C","gz132"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","hl94"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","hl94"
"B","A","E","B","NV","B","A","B","C","A","B","B","C","C","hl94"
"B","A","B","B","NV","B","A","A","B","A","B","B","C","A","ho117"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ho117"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ij80"
"B","B","B","NV","NV","B","A","B","A","NV","A","B","A","NV","il134"
"B","A","B","B","NV","B","A","A","C","A","B","B","C","C","ix115"
"NV","NV","NV","A","NV","A","B","B","A","B","B","B","C","C","jh167"
"B","A","D","B","NV","B","A","B","B","A","B","B","D","C","jr82"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","js147"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","kc69"
"B","A","A","A","NV","A","A","C","C","B","A","NV","A","A","kc69"
"B","A","B","A","NV","A","B","B","A","A","A","B","A","C","kk83"
"NV","A","B","A","NV","NV","A","B","C","A","B","B","A","C","kq149"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","lp16"
"B","A","D","A","NV","A","A","B","C","B","A","A","B","A","lp16"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","mk6"
"B","A","E","B","NV","B","A","D","C","B","A","B","C","A","mn113"
"A","A","B","B","NV","B","A","C","C","A","A","B","B","A","ne71"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","pr39"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","qf53"
"B","A","B","B","NV","B","B","A","C","A","B","B","A","C","qk1"
"B","A","E","A","NV","A","A","B","C","A","B","NV","C","C","qs140"
"B","A","E","A","NV","A","A","A","C","B","A","B","D","A","sa106"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","se121"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","se121"
"B","A","E","B","NV","NV","A","B","C","A","NV","NV","C","C","se121"
"B","A","E","B","NV","B","A","B","C","A","B","B","C","C","tb139"
"A","A","D","A","NV","B","B","B","C","A","A","A","NV","C","tl104"
"B","A","B","A","NV","B","A","B","C","A","B","B","A","A","vk37"
"B","A","B","A","NV","A","A","B","C","A","B","B","C","C","wh38"
"C","A","B","B","NV","B","A","A","C","A","A","B","NV","A","wz10"
"B","A","E","A","NV","A","A","B","C","A","A","B","C","C","xu128"
"B","A","B","B","NV","B","A","B","C","A","B","B","C","C","ya79"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","ya8"
"B","A","B","B","NV","B","A","B","C","B","B","B","C","C","ya8"
"B","A","B","B","NV","B","A","B","C","A","B","B","C","C","yb118"
"A","A","B","A","NV","A","A","B","C","B","A","A","C","A","yb87"
"B","A","B","B","NV","B","A","B","C","B","B","B","A","A","yb87"
"B","A","B","B","NV","NV","B","A","C","A","A","B","B","A","yd105"
"A","A","D","A","NV","B","A","B","C","B","A","A","B","A","yi5"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","za95"
"B","A","C","B","NV","NV","A","A","B","A","B","B","D","NV","za95"
"B","B","B","A","NV","A","A","B","C","B","NV","B","NV","A","zf127"
"B","A","C","B","NV","B","A","A","C","A","A","A","C","C","zu23"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","zz133"
"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV",NA
