"","Total.x","Percentage.x","Q1_KEY_B","Q2_KEY_D","Q3_KEY_B.x","Question.4..","researchID","Total.y","Percentage.y","Q1_KEY_C","Q2_KEY_B.x","Q2.2_KEY_B","Q4_KEY_B","Q4.2_KEY_B","Q4.3_KEY_B","Q8_NOKEY","Q9_NOKEY","Q10_NOKEY","Q13_KEY_E","Q14_NOKEY","Q15_NOKEY","Q15.2_NOKEY","Q18_KEY_A","Q19_KEY_A","Q19_KEY_B","Total.x.x","Percentage.x.x","Q1_KEY_A","Q2_KEY_B.y","Q3_KEY_B.y","Q3.2_KEY_B","Q5_KEY_A","Q5.2_KEY_A","Q7_KEY_A","Q8_KEY_A","Q9_KEY_B","Q10_KEY_A","Q10.3_KEY_A","Q13_KEY_B","Q13.2_KEY_B","Q1.2_KEY_A","Q17_KEY_D","Q17.2_KEY_D","Total.y.y","Percentage.y.y","Q3_KeyA","Q4_nokey","Q5_KEYD","Q6_KeyB","Q7_KeyB","Q8_nokey","Q9_nokey","Q10_nokey","Q11_KeyA","Q1_KEYB","Q2_KEYA","Q4_KEYB","Q5_KEYB","Question.6..","Q8_KEYB","Q9_KEYA","Q10_KEYB","Q11_KEYC","Q12_KEYA","Q13_KEYB","Q13.B_KEYB","Q15_KEYC","Q16_KEYA","Total.x.x.x","Percentage.x.x.x","Q1.KEYC","Q2.KeyA","Q2.2.KeyA","Q4.KeyA","Q9.KeyE","Q15.KeyD","Total.y.y.y","Percentage.y.y.y","Q3KeyA","Q5KeyA","Q5.1KeyA","Q7KeyB","Q9KeyD","Q9.1KeyD","Q11KekyA","Q12KeyA","Q13KeyC","Q13.1KeyC","Total.x.x.x.x","Percentage.x.x.x.x","QuestioQ1KeyCn.1..","Q1.2KeyC","Q3KeyC","Q4KeyC.x","Q5KeyC.x","Total.y.y.y.y","Percentage.y.y.y.y","Q1KeyA","Q2KeyB","Q2.1KeyB","Q4KeyB","Q6KeyB","Q6.2KeyB","Q6.3KeyB","Question.9..","Q10KeyA","Q10.2KeyA","Q13KyA","Total","Percentage","Q1KeyC","Q2KeyE","Q2.1KeyE","Q4KeyC.y","Q5KeyC.y","Q6KeyA","count_matrix"
"1"," 0","0%","NV","NV","NV","NV","ab70"," 2","100%","C","B","C","B","B","NV","B","C","B","A","C","B","B","A","B","B"," 2","100%","B","B","B","B","B","NV","A","A","NV","D","D","B","B","B","A","A"," 2","100%","B","D","C","B","B","B","C","D","D","B","A","B","B","NV","B","A","B","C","B","B","B","C","A"," 2","100%","C","A","A","A","B","D"," 2","100%","A","A","A","C","NV","D","A","A","B","B"," 2","100%","C","C","C","A","A"," 2","100%","A","A","B","B","C","B","B","NV","B","B","NV"," 2","100%","C","NV","E","C","C","A",3
"2"," 0","0%","NV","NV","NV","NV","as160"," 2","100%","C","C","C","B","B","A","C","B","C","E","B","B","NV","A","A","B"," 2","100%","A","B","B","B","A","NV","A","A","B","A","A","B","B","A","D","NV"," 2","100%","A","D","D","B","B","C","C","C","A","B","A","E","B","NV","B","NV","B","C","A","B","NV","C","C"," 2","100%","C","B","A","A","A","A"," 2","100%","A","B","A","B","D","D","A","A","C","C"," 2","100%","A","B","C","A","C"," 2","100%","A","B","B","B","D","B","B","NV","B","B","A"," 2","100%","C","B","D","B","B","A",2
"3"," 0","0%","NV","NV","NV","NV","bb33"," 2","100%","B","B","C","B","NV","A","A","B","C","NV","C","B","NV","A","A","B"," 2","100%","A","B","B","B","B","NV","A","A","B","D","NV","B","D","A","A","D"," 2","100%","A","D","E","B","A","B","C","A","A","B","A","E","B","NV","B","A","B","C","A","B","B","C","A"," 2","100%","C","A","A","A","C","D"," 2","100%","B","D","A","B","B","D","NV","B","B","B"," 2","100%","C","C","C","C","C"," 2","100%","A","A","B","B","D","D","D","NV","B","B","A"," 2","100%","B","NV","D","A","A","B",4
"4"," 2","100%","NV","B","B","NV","ca62"," 2","100%","C","B","B","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","A","B","B","B","A","NV","NV","B","NV","NV","NV","NV","NV","NV","NV","A"," 2","100%","NV","D","C","D","B","NV","B","A","A","A","NV","NV","NV","NV","B","A","NV","A","B","NV","B","A","A"," 2","100%","A","NV","A","NV","A","NV"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","B","NV","C","NV","C"," 2","100%","A","A","B","B","D","D","NV","NV","B","B","A"," 2","100%","B","NV","A","C","C","A",43
"5"," 2","100%","NV","B","B","NV","ca62"," 2","100%","C","B","B","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","A","B","B","B","A","NV","NV","B","NV","NV","NV","NV","NV","NV","NV","A"," 2","100%","NV","D","C","D","B","NV","B","A","A","A","NV","NV","NV","NV","B","A","NV","A","B","NV","B","A","A"," 2","100%","A","NV","A","NV","A","NV"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","B","NV","C","NV","C"," 2","100%","A","A","B","B","D","D","NV","NV","B","B","A"," 2","100%","B","NV","A","C","C","A",43
"6"," 2","100%","NV","B","B","NV","ca62"," 2","100%","C","B","B","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","A","B","B","B","A","NV","NV","B","NV","NV","NV","NV","NV","NV","NV","A"," 2","100%","NV","D","C","D","B","NV","B","A","A","A","NV","NV","NV","NV","B","A","NV","A","B","NV","B","A","A"," 2","100%","A","NV","A","NV","A","NV"," 2","100%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","B","NV","C","NV","C"," 2","100%","A","A","B","B","D","D","NV","NV","B","B","A"," 2","100%","B","NV","A","C","C","A",43
"7"," 2","100%","C","D","B","NV","cd102"," 2","100%","C","C","C","B","A","B","B","B","C","D","C","B","B","B","A","B"," 2","100%","A","B","A","B","B","NV","A","A","B","A","A","B","B","A","D","D"," 2","100%","A","D","D","B","B","C","B","D","A","B","A","B","B","NV","B","A","B","NV","A","B","B","C","C"," 2","100%","C","B","B","A","D","D"," 2","100%","A","A","A","B","D","D","A","A","C","C"," 2","100%","C","C","C","A","C"," 2","100%","A","A","A","B","B","B","B","NV","B","B","A"," 2","100%","C","E","E","C","C","A",42
"8"," 0","0%","NV","NV","NV","NV","ce138"," 2","100%","B","C","C","B","B","B","B","C","B","E","C","B","B","A","A","B"," 2","100%","A","B","B","B","B","NV","A","A","B","A","A","B","B","A","D","D"," 2","100%","A","D","D","B","C","C","C","D","A","B","A","B","B","NV","B","A","B","C","A","B","B","C","E"," 2","100%","C","A","A","A","E","D"," 2","100%","A","A","A","B","D","D","A","A","B","B"," 2","100%","C","C","C","C","C"," 2","100%","A","B","B","B","B","B","B","NV","B","B","A"," 2","100%","C","E","E","C","C","A",64
"9"," 2","100%","B","D","B","NV","cj85"," 2","100%","B","C","A","B","B","B","B","C","C","NV","C","B","B","A","A","B"," 2","100%","A","B","A","B","A","NV","A","A","B","C","A","D","D","A","A","D"," 2","100%","A","D","C","B","A","C","B","D","A","B","A","D","B","NV","B","B","A","C","A","A","B","A","C"," 2","100%","B","A","B","A","B","A"," 2","100%","D","A","A","C","B","D","A","A","C","B"," 2","100%","D","C","B","C","C"," 2","100%","C","A","A","B","D","NV","B","NV","B","B","D"," 2","100%","C","A","A","A","B","A",53
"10"," 2","100%","B","B","B","NV","cq54"," 2","100%","B","B","C","C","B","B","B","B","C","E","C","B","B","A","A","B"," 2","100%","A","A","B","B","A","NV","A","A","B","B","A","C","B","A","A","D"," 2","100%","NV","D","D","B","A","B","B","D","A","A","B","E","B","NV","B","A","A","C","A","A","B","D","C"," 2","100%","C","A","A","A","A","D"," 2","100%","A","C","C","B","D","D","A","A","C","C"," 0","0%","NV","NV","NV","NV","NV"," 2","100%","A","B","B","B","D","D","B","NV","B","B","D"," 2","100%","C","D","E","C","C","B",1
"11"," 2","100%","C","D","B","NV","cx93"," 2","100%","C","B","C","B","B","B","C","B","C","E","C","A","B","A","A","B"," 2","100%","A","B","B","NV","B","NV","A","A","B","C","C","C","B","A","D","D"," 2","100%","A","D","C","B","B","B","B","B","A","B","A","E","B","NV","B","A","B","C","A","B","B","C","A"," 2","100%","C","B","B","A","A","C"," 2","100%","A","A","A","B","B","D","A","A","C","C"," 2","100%","A","A","B","C","C"," 2","100%","A","B","NV","B","D","B","D","NV","B","B","A"," 2","100%","C","A","A","B","B","A",53
"12"," 2","100%","B","D","B","NV","dr56"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","A","B","C","B","A","NV","B","A","B","D","A","C","B","B","NV","D"," 2","100%","B","D","C","B","B","NV","NV","NV","NV","B","A","E","A","NV","B","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","A","B","B","A","B","B"," 2","100%","A","B","NV","NV","NV","NV","NV","NV","NV","NV"," 0","0%","NV","NV","NV","NV","NV"," 2","100%","C","A","A","A","D","D","D","NV","NV","NV","A"," 2","100%","B","C","C","A","A","A",40
"13"," 0","0%","NV","NV","NV","NV","eu125"," 2","100%","C","A","B","B","A","NV","B","B","C","E","C","B","NV","A","A","B"," 2","100%","A","NV","A","B","A","NV","A","A","B","A","A","B","B","A","D","D"," 2","100%","A","D","D","B","A","B","B","A","B","B","A","B","A","NV","A","A","A","C","A","B","B","C","A"," 2","100%","C","B","B","A","D","D"," 2","100%","A","A","A","B","D","D","A","A","C","C"," 2","100%","D","D","C","C","C"," 2","100%","A","B","B","A","D","D","D","NV","B","NV","A"," 2","100%","A","D","D","A","NV","A",3
"14"," 0","0%","NV","NV","NV","NV","ev22"," 2","100%","NV","A","A","C","B","B","B","A","C","E","C","A","A","A","A","A"," 2","100%","A","B","B","B","A","NV","A","A","B","B","A","D","D","C","A","D"," 2","100%","B","D","D","D","B","C","B","D","B","B","A","C","NV","NV","NV","A","A","C","A","A","B","C","C"," 2","100%","C","B","B","B","D","D"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","A","C","B","D","C"," 2","100%","A","B","B","A","A","D","B","NV","A","A","B"," 2","100%","A","B","A","A","A","B",11
"15"," 0","0%","NV","NV","NV","NV","ev22"," 2","100%","NV","A","A","C","B","B","B","A","C","E","C","A","A","A","A","A"," 2","100%","A","B","B","B","A","NV","A","A","B","B","A","D","D","C","A","D"," 2","100%","B","D","D","D","B","C","B","D","B","B","A","C","NV","NV","NV","A","A","C","A","A","B","C","C"," 2","100%","C","B","B","B","D","D"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","A","C","B","D","C"," 2","100%","A","B","B","A","A","D","B","NV","A","A","B"," 2","100%","A","B","A","A","A","B",11
